grid_cell,Avg Speed Limit,Avg Volume,# of Cameras,# of Signals,# of Incidents,Regulatory,Parking Restrictions,Timed Parking,Warning,Park Plus,Pedestrian,Street Name,Yield,Stop,Snow Route,Guide / Information,Bicycle / Pathway,Disabled Parking,Loading Zone,Playground,Residential Parking,Overhead Guide,Speed,Hospital,School,Halo
1 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 5,,2000.0,0.0,0.0,0.0,5.0,10.0,2.0,9.0,3.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
1 -- 6,63.0,2509.0,1.0,1.0,7.0,33.0,55.0,16.0,25.0,7.0,18.0,57.0,13.0,19.0,7.0,8.0,6.0,11.0,6.0,10.0,5.0,0.0,4.0,0.0,2.0,0.0
1 -- 7,67.0,11915.0,1.0,5.0,17.0,174.0,246.0,67.0,138.0,27.0,68.0,315.0,64.0,76.0,18.0,51.0,25.0,26.0,15.0,85.0,33.0,4.0,39.0,0.0,13.0,0.0
1 -- 8,54.0,17805.0,0.0,7.0,13.0,88.0,129.0,46.0,71.0,19.0,30.0,147.0,27.0,39.0,17.0,28.0,13.0,19.0,10.0,33.0,20.0,0.0,9.0,0.0,7.0,0.0
1 -- 9,,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1 -- 10,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2 -- 3,48.0,12353.0,0.0,0.0,1.0,10.0,11.0,11.0,6.0,1.0,9.0,20.0,3.0,1.0,0.0,6.0,1.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0
2 -- 4,59.0,14359.0,0.0,0.0,6.0,30.0,34.0,14.0,27.0,5.0,11.0,45.0,13.0,10.0,2.0,10.0,7.0,7.0,1.0,17.0,4.0,0.0,2.0,0.0,2.0,0.0
2 -- 5,62.0,12285.0,0.0,16.0,50.0,266.0,406.0,133.0,208.0,42.0,105.0,530.0,111.0,137.0,28.0,82.0,39.0,52.0,26.0,111.0,65.0,3.0,40.0,2.0,21.0,0.0
2 -- 6,69.0,19579.0,3.0,33.0,111.0,439.0,620.0,191.0,355.0,80.0,183.0,808.0,171.0,219.0,53.0,136.0,75.0,81.0,49.0,197.0,112.0,8.0,78.0,3.0,35.0,0.0
2 -- 7,65.0,27661.0,1.0,6.0,27.0,182.0,209.0,77.0,121.0,39.0,64.0,326.0,67.0,94.0,17.0,60.0,26.0,24.0,14.0,73.0,31.0,7.0,38.0,0.0,18.0,1.0
2 -- 8,68.0,23422.0,2.0,17.0,104.0,388.0,574.0,182.0,315.0,58.0,151.0,699.0,169.0,212.0,44.0,132.0,78.0,48.0,43.0,170.0,88.0,9.0,79.0,1.0,37.0,0.0
2 -- 9,71.0,21130.0,1.0,10.0,35.0,270.0,419.0,119.0,230.0,47.0,90.0,508.0,110.0,141.0,32.0,89.0,40.0,56.0,25.0,106.0,60.0,5.0,46.0,2.0,24.0,0.0
2 -- 10,70.0,9000.0,0.0,0.0,2.0,10.0,13.0,8.0,4.0,1.0,1.0,16.0,3.0,2.0,0.0,1.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
3 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 3,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3 -- 4,71.0,10876.0,0.0,0.0,9.0,56.0,60.0,15.0,30.0,8.0,21.0,79.0,25.0,23.0,4.0,15.0,10.0,8.0,4.0,27.0,19.0,0.0,7.0,0.0,6.0,0.0
3 -- 5,66.0,14508.0,0.0,13.0,46.0,293.0,467.0,143.0,240.0,52.0,120.0,552.0,138.0,155.0,38.0,107.0,41.0,46.0,28.0,119.0,75.0,6.0,54.0,1.0,23.0,0.0
3 -- 6,63.0,31692.0,5.0,34.0,154.0,385.0,567.0,152.0,303.0,70.0,163.0,730.0,136.0,217.0,52.0,140.0,79.0,46.0,38.0,157.0,85.0,12.0,74.0,5.0,27.0,0.0
3 -- 7,69.0,38376.0,0.0,18.0,96.0,318.0,434.0,111.0,245.0,63.0,102.0,551.0,117.0,162.0,29.0,121.0,54.0,55.0,28.0,141.0,70.0,3.0,61.0,2.0,23.0,0.0
3 -- 8,67.0,23227.0,5.0,27.0,93.0,240.0,392.0,127.0,221.0,51.0,82.0,494.0,113.0,134.0,29.0,96.0,36.0,55.0,28.0,117.0,69.0,5.0,53.0,0.0,24.0,0.0
3 -- 9,68.0,14836.0,0.0,6.0,27.0,128.0,154.0,53.0,77.0,16.0,45.0,250.0,45.0,73.0,12.0,40.0,21.0,22.0,10.0,50.0,26.0,3.0,37.0,1.0,15.0,0.0
3 -- 10,57.0,0.0,0.0,0.0,0.0,10.0,24.0,1.0,13.0,3.0,3.0,24.0,3.0,4.0,1.0,7.0,6.0,1.0,2.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0
4 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 -- 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 -- 3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 -- 4,60.0,2571.0,0.0,1.0,0.0,37.0,34.0,7.0,26.0,9.0,13.0,45.0,8.0,17.0,5.0,10.0,5.0,8.0,3.0,12.0,10.0,0.0,7.0,0.0,4.0,0.0
4 -- 5,62.0,21443.0,2.0,26.0,88.0,364.0,505.0,174.0,288.0,59.0,125.0,617.0,137.0,226.0,51.0,111.0,65.0,62.0,43.0,141.0,104.0,9.0,78.0,5.0,30.0,0.0
4 -- 6,66.0,18291.0,3.0,70.0,225.0,585.0,847.0,261.0,472.0,83.0,212.0,1092.0,241.0,313.0,72.0,201.0,101.0,107.0,61.0,260.0,149.0,15.0,125.0,6.0,58.0,0.0
4 -- 7,70.0,37399.0,3.0,34.0,149.0,330.0,496.0,163.0,251.0,59.0,137.0,690.0,145.0,171.0,38.0,125.0,49.0,76.0,27.0,168.0,94.0,6.0,71.0,4.0,40.0,0.0
4 -- 8,65.0,16258.0,2.0,18.0,104.0,198.0,276.0,83.0,157.0,33.0,62.0,338.0,78.0,111.0,30.0,64.0,40.0,47.0,20.0,83.0,41.0,2.0,29.0,0.0,17.0,1.0
4 -- 9,63.0,14462.0,1.0,1.0,38.0,47.0,66.0,27.0,23.0,9.0,26.0,82.0,16.0,30.0,2.0,23.0,11.0,17.0,4.0,12.0,11.0,0.0,8.0,0.0,2.0,0.0
4 -- 10,,10200.0,0.0,0.0,0.0,11.0,30.0,7.0,17.0,3.0,4.0,37.0,7.0,13.0,1.0,6.0,6.0,3.0,4.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0
5 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 -- 2,71.0,17907.0,0.0,0.0,1.0,7.0,11.0,3.0,4.0,1.0,2.0,12.0,5.0,7.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0
5 -- 3,58.0,15632.0,0.0,2.0,15.0,165.0,221.0,71.0,138.0,30.0,54.0,248.0,51.0,83.0,13.0,63.0,38.0,25.0,18.0,57.0,35.0,2.0,29.0,0.0,15.0,1.0
5 -- 4,66.0,24649.0,0.0,21.0,69.0,339.0,496.0,145.0,262.0,70.0,138.0,633.0,136.0,191.0,37.0,110.0,61.0,67.0,19.0,124.0,85.0,5.0,62.0,2.0,36.0,0.0
5 -- 5,66.0,41029.0,3.0,28.0,303.0,623.0,903.0,301.0,517.0,113.0,241.0,1232.0,265.0,365.0,65.0,198.0,128.0,105.0,60.0,271.0,160.0,12.0,101.0,2.0,48.0,0.0
5 -- 6,61.0,31341.0,9.0,61.0,307.0,800.0,1208.0,365.0,628.0,117.0,316.0,1517.0,333.0,458.0,104.0,226.0,138.0,154.0,70.0,299.0,211.0,20.0,151.0,3.0,75.0,0.0
5 -- 7,65.0,47646.0,5.0,19.0,297.0,213.0,270.0,85.0,146.0,29.0,95.0,377.0,80.0,125.0,28.0,68.0,43.0,31.0,20.0,86.0,50.0,8.0,29.0,1.0,13.0,0.0
5 -- 8,69.0,13522.0,1.0,17.0,63.0,292.0,445.0,146.0,249.0,45.0,110.0,563.0,124.0,168.0,39.0,81.0,51.0,61.0,39.0,138.0,72.0,5.0,57.0,2.0,22.0,0.0
5 -- 9,68.0,28179.0,0.0,4.0,36.0,14.0,22.0,7.0,11.0,2.0,8.0,30.0,9.0,9.0,4.0,6.0,3.0,4.0,1.0,7.0,7.0,0.0,4.0,0.0,2.0,0.0
5 -- 10,45.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6 -- 2,49.0,8000.0,0.0,0.0,3.0,6.0,9.0,2.0,9.0,0.0,4.0,15.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,3.0,0.0,0.0,0.0
6 -- 3,64.0,19319.0,0.0,22.0,45.0,449.0,676.0,176.0,332.0,73.0,154.0,751.0,184.0,210.0,54.0,154.0,82.0,73.0,38.0,182.0,121.0,9.0,74.0,3.0,39.0,0.0
6 -- 4,63.0,27780.0,2.0,35.0,107.0,728.0,1104.0,350.0,566.0,102.0,294.0,1314.0,264.0,403.0,83.0,219.0,135.0,128.0,64.0,309.0,200.0,16.0,127.0,6.0,47.0,1.0
6 -- 5,68.0,29087.0,8.0,77.0,326.0,1404.0,2023.0,674.0,1036.0,222.0,544.0,2632.0,550.0,821.0,172.0,479.0,264.0,278.0,147.0,571.0,393.0,28.0,276.0,5.0,133.0,1.0
6 -- 6,76.0,15870.0,22.0,223.0,465.0,3725.0,5485.0,1731.0,2912.0,685.0,1448.0,6759.0,1509.0,2038.0,455.0,1107.0,719.0,801.0,345.0,1575.0,926.0,69.0,684.0,27.0,312.0,2.0
6 -- 7,73.0,48142.0,5.0,38.0,362.0,603.0,926.0,309.0,465.0,113.0,224.0,1164.0,221.0,332.0,74.0,214.0,116.0,116.0,68.0,278.0,168.0,16.0,111.0,4.0,56.0,0.0
6 -- 8,68.0,19010.0,5.0,56.0,259.0,657.0,858.0,257.0,493.0,88.0,228.0,1137.0,268.0,367.0,72.0,190.0,112.0,129.0,44.0,252.0,155.0,9.0,129.0,4.0,62.0,0.0
6 -- 9,60.0,32222.0,0.0,23.0,84.0,231.0,341.0,126.0,160.0,45.0,92.0,417.0,119.0,116.0,27.0,77.0,34.0,50.0,22.0,111.0,60.0,1.0,47.0,1.0,21.0,0.0
6 -- 10,65.0,16000.0,0.0,1.0,5.0,18.0,15.0,6.0,12.0,1.0,4.0,26.0,6.0,5.0,1.0,5.0,1.0,1.0,1.0,6.0,3.0,0.0,4.0,0.0,3.0,0.0
7 -- 1,60.0,44000.0,0.0,0.0,5.0,15.0,20.0,4.0,13.0,0.0,5.0,19.0,3.0,7.0,2.0,5.0,3.0,3.0,0.0,6.0,5.0,0.0,4.0,0.0,2.0,0.0
7 -- 2,77.0,32583.0,0.0,0.0,14.0,94.0,145.0,46.0,87.0,12.0,46.0,174.0,50.0,47.0,12.0,24.0,29.0,19.0,10.0,42.0,24.0,2.0,16.0,0.0,14.0,0.0
7 -- 3,69.0,17951.0,1.0,17.0,44.0,368.0,530.0,184.0,301.0,51.0,157.0,716.0,162.0,215.0,57.0,123.0,68.0,92.0,43.0,154.0,76.0,7.0,75.0,2.0,37.0,1.0
7 -- 4,68.0,25056.0,2.0,46.0,123.0,691.0,1004.0,325.0,489.0,124.0,279.0,1194.0,282.0,398.0,85.0,232.0,135.0,155.0,51.0,278.0,186.0,12.0,113.0,3.0,63.0,0.0
7 -- 5,59.0,27171.0,3.0,49.0,161.0,795.0,1073.0,357.0,591.0,108.0,321.0,1359.0,305.0,434.0,84.0,270.0,131.0,161.0,69.0,325.0,173.0,17.0,126.0,4.0,66.0,0.0
7 -- 6,60.0,25199.0,4.0,53.0,238.0,896.0,1263.0,397.0,657.0,126.0,348.0,1601.0,363.0,492.0,114.0,278.0,145.0,159.0,90.0,355.0,195.0,14.0,160.0,5.0,86.0,0.0
7 -- 7,64.0,37967.0,6.0,36.0,354.0,257.0,409.0,147.0,207.0,33.0,97.0,542.0,112.0,136.0,30.0,89.0,54.0,44.0,23.0,129.0,85.0,4.0,54.0,1.0,21.0,0.0
7 -- 8,67.0,21159.0,6.0,50.0,290.0,478.0,711.0,231.0,395.0,78.0,193.0,906.0,215.0,279.0,66.0,167.0,93.0,108.0,35.0,186.0,139.0,11.0,85.0,3.0,43.0,0.0
7 -- 9,62.0,34263.0,2.0,19.0,127.0,299.0,395.0,123.0,225.0,47.0,99.0,554.0,122.0,156.0,32.0,99.0,54.0,77.0,21.0,123.0,74.0,6.0,45.0,2.0,25.0,0.0
7 -- 10,,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8 -- 1,,0.0,0.0,0.0,0.0,2.0,5.0,0.0,6.0,1.0,2.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8 -- 2,65.0,25233.0,0.0,10.0,26.0,279.0,372.0,124.0,172.0,35.0,100.0,429.0,110.0,130.0,20.0,96.0,36.0,39.0,17.0,102.0,66.0,5.0,53.0,2.0,15.0,0.0
8 -- 3,65.0,20249.0,1.0,39.0,67.0,489.0,676.0,222.0,385.0,80.0,179.0,949.0,186.0,259.0,67.0,157.0,87.0,79.0,47.0,225.0,133.0,10.0,90.0,1.0,40.0,0.0
8 -- 4,64.0,21647.0,2.0,32.0,93.0,431.0,637.0,190.0,319.0,67.0,138.0,853.0,167.0,222.0,44.0,138.0,65.0,83.0,35.0,163.0,113.0,10.0,85.0,1.0,26.0,0.0
8 -- 5,67.0,23391.0,0.0,7.0,23.0,108.0,153.0,40.0,89.0,18.0,41.0,214.0,41.0,74.0,8.0,38.0,21.0,27.0,7.0,31.0,24.0,1.0,20.0,0.0,6.0,0.0
8 -- 6,69.0,33752.0,1.0,33.0,161.0,339.0,564.0,171.0,300.0,49.0,145.0,663.0,140.0,217.0,34.0,138.0,69.0,73.0,29.0,139.0,94.0,9.0,68.0,5.0,29.0,0.0
8 -- 7,73.0,19294.0,0.0,6.0,25.0,33.0,56.0,15.0,18.0,8.0,9.0,61.0,9.0,11.0,2.0,8.0,4.0,4.0,3.0,13.0,8.0,0.0,2.0,1.0,2.0,0.0
8 -- 8,69.0,18288.0,0.0,17.0,80.0,273.0,418.0,138.0,221.0,46.0,101.0,544.0,125.0,168.0,38.0,102.0,47.0,72.0,29.0,111.0,80.0,4.0,64.0,4.0,27.0,0.0
8 -- 9,73.0,19833.0,0.0,22.0,81.0,325.0,463.0,124.0,261.0,52.0,122.0,579.0,123.0,181.0,38.0,103.0,62.0,64.0,23.0,132.0,79.0,7.0,61.0,1.0,30.0,1.0
8 -- 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9 -- 2,73.0,12899.0,0.0,7.0,10.0,165.0,232.0,77.0,136.0,19.0,54.0,293.0,68.0,101.0,20.0,60.0,29.0,26.0,21.0,77.0,39.0,8.0,34.0,1.0,19.0,0.0
9 -- 3,59.0,28351.0,1.0,10.0,32.0,149.0,210.0,71.0,97.0,25.0,61.0,263.0,76.0,96.0,24.0,57.0,25.0,24.0,11.0,58.0,35.0,3.0,42.0,1.0,11.0,0.0
9 -- 4,63.0,24164.0,1.0,22.0,84.0,245.0,336.0,96.0,185.0,39.0,90.0,437.0,109.0,130.0,34.0,86.0,45.0,48.0,19.0,89.0,65.0,4.0,58.0,2.0,25.0,0.0
9 -- 5,69.0,33697.0,2.0,24.0,79.0,362.0,507.0,172.0,255.0,41.0,126.0,648.0,140.0,187.0,40.0,109.0,49.0,44.0,32.0,166.0,98.0,3.0,68.0,5.0,31.0,0.0
9 -- 6,66.0,18897.0,0.0,33.0,94.0,400.0,567.0,175.0,266.0,61.0,131.0,703.0,153.0,219.0,35.0,136.0,76.0,58.0,27.0,165.0,102.0,4.0,64.0,1.0,29.0,0.0
9 -- 7,67.0,32530.0,2.0,15.0,55.0,157.0,243.0,85.0,125.0,24.0,56.0,270.0,58.0,91.0,14.0,54.0,23.0,30.0,12.0,71.0,35.0,2.0,33.0,0.0,19.0,0.0
9 -- 8,64.0,29355.0,2.0,14.0,63.0,197.0,260.0,86.0,146.0,30.0,81.0,333.0,74.0,115.0,15.0,60.0,28.0,45.0,16.0,86.0,46.0,3.0,44.0,0.0,15.0,0.0
9 -- 9,73.0,40319.0,0.0,3.0,26.0,47.0,59.0,15.0,18.0,5.0,13.0,72.0,15.0,19.0,2.0,17.0,5.0,14.0,5.0,24.0,5.0,1.0,3.0,1.0,3.0,0.0
9 -- 10,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10 -- 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 -- 2,65.0,3935.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10 -- 3,63.0,4842.0,0.0,0.0,0.0,6.0,11.0,7.0,10.0,2.0,1.0,16.0,5.0,7.0,1.0,3.0,0.0,1.0,1.0,6.0,3.0,0.0,3.0,0.0,1.0,0.0
10 -- 4,66.0,5068.0,0.0,1.0,11.0,100.0,147.0,29.0,64.0,12.0,41.0,178.0,36.0,61.0,9.0,28.0,17.0,19.0,7.0,42.0,27.0,3.0,16.0,1.0,6.0,0.0
10 -- 5,65.0,1961.0,0.0,2.0,2.0,61.0,112.0,39.0,44.0,12.0,34.0,138.0,34.0,45.0,8.0,25.0,17.0,10.0,5.0,19.0,14.0,1.0,19.0,0.0,6.0,1.0
10 -- 6,58.0,5485.0,0.0,1.0,5.0,29.0,54.0,20.0,32.0,12.0,15.0,66.0,17.0,23.0,5.0,6.0,6.0,30.0,2.0,4.0,10.0,0.0,6.0,0.0,3.0,0.0
10 -- 7,73.0,68348.0,0.0,0.0,22.0,7.0,13.0,4.0,2.0,2.0,3.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
10 -- 8,61.0,17750.0,0.0,0.0,20.0,5.0,2.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
10 -- 9,82.0,40000.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 -- 10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
